text,label,,Person 1,Person 2,tally ,
"""വിപണിയിൽ തുടർച്ചയുള്ള വളർച്ച ഉണ്ടാകുമെന്ന് കരുതുന്നു.""",neutral,,0,0,1,
ഈ വീഡിയോകള്‍ എല്ലാവര്‍ക്കും പ്രേരണയായി മാറട്ടെ.,positive,,1,2,2,
വാർത്ത പകർത്ത് പുലർത്തുന്നു,negative,,1,0,0,
പാട്ടിന്റെ പാട്ടുകാർ പ്രകടനത്തിൽ മിതമായാണ്.,neutral,,2,0,1,
ശാസ്ത്രപരമായ കാലാവസ്ഥ സംവാദം.,neutral,,0,2,1,
പാചകത്തിൽ നല്ല പിന്തുണ.,positive,,1,2,2,
പുതിയ ദിശ മാത്രം കുറവ്.,neutral,,2,2,1,
പാട്ടിന്റെ പ്രകടനം സാധാരണ.,neutral,,2,2,1,
സ്ത്രീകളുടെ പങ്ക് ശ്രദ്ധേയമാണ്.,positive,,2,1,2,
വ്യക്തതയുള്ള പേജ്,positive,,2,2,2,
കേരളത്തിലെ പച്ചപ്പും ശാന്തിയും കാഴ്ച്ചക്കായി,positive,,2,2,2,
"സിനിമയുടെ പശ്ചാത്തലം സുന്ദരമാണ്.,",positive,,2,2,2,
കൂടുതൽ സൃഷ്ടിപരമായ പരിപാടി.,negative,,1,2,0,
വീഡിയോ ജോലി ലളിതവും വ്യക്തമുമാണ്.,positive,,1,2,2,
വ്യായാമം ജീവിതത്തിന്റെ ഭാഗമാക്കാം.,neutral,,2,2,1,
തുല്യമായ മഴയ്ക്കായി കാത്തിരിക്കുന്നു.,neutral,,1,1,1,
"കഥയൊന്നും പ്രതീക്ഷിക്കാത്തതായിരുന്നു.,",positive,,0,1,2,
കാലാവസ്ഥാ വിജ്ഞാന വിപുലീകരണം.,neutral,,0,1,1,
പാട്ടിൽ ഉള്ള ചില ഭാഗങ്ങൾ കൂടുതൽ ശക്തമാകണം.,neutral,,0,0,1,
വാർത്തകൾ ജനക്ഷേമത്തിൽ മായം തീർക്കുന്നു,negative,,1,0,0,
വാർത്തകളിലൂടെ ജനങ്ങളെ ഭ്രമിപ്പിക്കുന്നു,negative,,1,0,0,
"കുറച്ച് കളവ് പോവട്ടെ, പക്ഷേ തുടക്കം വേണം.",positive,,1,1,2,
കാലാവസ്ഥ ബാങ്കിംഗ്,neutral,,0,1,1,
മത്സ്യബന്ധന കലയുടെ പ്രതീകം.,positive,,1,1,2,
സഞ്ചാരികൾക്ക് ആശങ്ക നൽകുന്ന സാഹചര്യങ്ങൾ,negative,,0,0,0,
ജീവിച്ചിരിക്കാനുള്ള നീതി.,positive,,1,1,2,
പാട്ട് കേൾക്കാൻ ആകർഷകമല്ല.,neutral,,2,0,1,
പാട്ടിന്റെ രചന ലളിതമാണ്.,neutral,,2,1,1,
"""പ്രോത്സാഹനം് കൊടുക്കുന്ന വിഷയം""",positive,,1,2,2,
"ഹൃദയസ്പർശിയായ സംഗീതം.,",positive,,2,1,2,
കുടുംബ ബന്ധങ്ങളിൽ വ്യത്യാസ്‌തകൾ കാണാം.,neutral,,2,2,1,
പാറമ്പര്യ ചിത്രകലയുടെ ഊർജം.,positive,,0,0,2,
വാർത്തകളുടെ വീക്ഷണം ഊർജ്ജമായിട്ടുണ്ട്,positive,,1,1,2,
വാർത്തകളിൽ നവീനത കാണുന്നില്ല,negative,,0,0,0,
പ്രദേശങ്ങളിൽ ഉണ്ടായ വളർച്ചകൾ വിശദീകരണം വേണം,neutral,,2,2,1,
പാട്ടിൽ അനാവശ്യ ആവർത്തനങ്ങൾ കാണാം.,neutral,,1,1,1,
പാചകം ചെയ്യാൻ പ്രചോദനം.,positive,,2,2,2,
പാട്ടിന്റെ ഗായകന്റെ പ്രകടനം മിതമാണ്.,neutral,,1,1,1,
നാടൻ കലയുടെയും പാരമ്പര്യത്തെയും വളർത്തണം.,positive,,0,0,2,
പാട്ടിന്റെ ഭാഗങ്ങൾ മിതമാണ്.,neutral,,2,2,1,
എളുപ്പം എന്ന് പറഞ്ഞെങ്കിലും കണ്ടു ബുദ്ധിമുട്ട്.,negative,,1,1,0,
വ്യായാമം ചെയ്യുന്നത് ആരോഗ്യത്തിന് നല്ലതാണ്.,neutral,,2,2,1,
"""ലഭ്യമായ അടുക്കള സ്ഥലങ്ങൾ എവിടെയാണ്?""",neutral,,2,2,1,
ഹൃദയം നിറഞ്ഞ കഥകൾ കൂടി കാണണം.,positive,,0,2,2,
നാടിന്റെ ഹൃദയം സ്പർശിക്കുന്ന തണുപ്പ്,positive,,2,2,2,
പാട്ടിന്റെ രചന ഹൃദ്യവും ആശയപൂർണവുമാകണം.,neutral,,2,0,1,
വളരെ സഹായക വീഡിയോ സീരീസ്.,negative,,0,1,0,
"മികച്ച ക്യാമറ പ്രവർത്തനം.,",positive,,1,1,2,
ഗായകൻ പാട്ടിൽ മനസ്സോടൊപ്പം ഇല്ല.,negative,,1,1,0,
കുറ്റവാളികളെ പിടിക്കാനാണ് ശ്രമം.,neutral,,1,1,1,
നാളെക്കുള്ള തയ്യാറെടുപ്പുകൾ,positive,,1,2,2,
കാലാവസ്ഥാ ആശയവിനിമയം,neutral,,2,0,1,
"""ഇന്ത്യയിൽ മത്സരക്ഷമമായ ബിസിനസ്""",positive,,2,2,2,
മഴ കാലം പുതിയതായി.,positve ,,0,1,2,
അധ്യാപകർക്കും വിദ്യാർത്ഥികൾക്കും സഹായം.,negative,,1,0,0,
വിമാനഗാമനത്തിൽ തടസ്സങ്ങൾ,negative,,2,0,0,
കാലാവസ്ഥാ ഡാറ്റ സംഗ്രഹം,negative,,1,0,0,
സ്കൂൾ അധ്യാപകർക്കും നല്ല സഹായം.,positive,,1,1,2,
പാട്ടുകൾ പഴയതുപോലെ കേൾക്കുന്നു.,negative,,0,2,0,
ആരോഗ്യ നിർദേശങ്ങൾ ക്രമീകരിക്കുക.,neutral,,2,1,1,
"ഇതൊന്നും പുതിയതല്ല, പണ്ടത്തെ സാമ്പ്രദായികം തന്നെ.",negative,,0,0,0,
കഴിഞ്ഞ ദിവസം കാലാവസ്ഥ നല്ലതായിരുന്നൂ.,positve ,,2,1,2,
പാട്ടിലെ മീറ്റർ തെറ്റാണ്.,negative,,1,0,0,
പാട്ടിന്റെ ഭാവന മനസ്സിൽ പതിക്കുന്നു.,positive,,1,2,2,
കാലാവസ്ഥാ ഫലപ്രദമായ നിയമങ്ങൾ,neutral,,0,2,1,
കാലാവസ്ഥാ പരിശീലന പരിപാടികൾ,negative,,2,0,0,
കാർഷിക വസ്തുക്കളാണ് ഒന്നും ഉപയോഗിച്ചിട്ടില്ല.,negative,,0,1,0,
ആശയങ്ങൾ മനോഹരമായി,positive,,0,1,2,
"അഭിനേതാക്കളുടെ പ്രകടനം ക്ഷീതമാണ്.,",negative,,1,0,0,
പാട്ടിന്റെ ദൃശ്യങ്ങൾ മിന്നുന്നില്ല.,negative,,0,2,0,
ഇന്ത്യയുടെ കാലാവസ്ഥാ സ്ഥിതി.,neutral,,1,1,1,
പാട്ടിൽ പുതിയ ആശയങ്ങൾ ഉൾപ്പെടുത്തണം.,neutral,,2,0,1,
കാലാവസ്ഥ പുനക്രമീകരണ ശ്രമങ്ങൾ,neutral,,1,2,1,
ശാരീരിക നില മെച്ചപ്പെടുത്താൻ.,positive,,1,2,2,
ജീവിതശൈലി ആബദ്ധമാക്കണം.,neutral,,2,2,1,
ഇലക്ട്രിക് വാഹനങ്ങൾ ഉപയോഗത്തിൽ കുറവാണെന്ന് തോന്നുന്നു,negative,,2,2,0,
കാലാവസ്ഥയ്ക്കൊപ്പം സുരക്ഷ ഉറപ്പ്.,positve ,,2,1,2,
പാട്ട് ആസ്വദിക്കാൻ നല്ല ഒരു അനുഭവം.,positive,,1,1,2,
പാട്ട് കേൾക്കുമ്പോൾ ആശയങ്ങൾ വ്യക്തമാണ്.,neutral,,0,1,1,
പാചകം ചെയ്യാനുള്ള ഇച്ഛാശക്തി.,positive,,2,1,2,
കാഴ്ച്ചക്ക് പുറമേ കൃത്യമായ മേൽനോട്ടം ഇല്ല,negative,,2,2,0,
പ്രകൃതി സൗഹൃദം വളർത്തുന്ന സ്ഥലങ്ങൾ,positive,,2,1,2,
സഞ്ചാരികളെ ആകർഷിക്കുന്ന മനോഹര കാഴ്ചകൾ,positive,,2,1,2,
ആരോഗ്യപരമായ റൂട്ടീൻ ഇഷ്ടപ്പെട്ടു.,positive,,2,2,2,
ഇതു പോലെ നല്ല ഉള്ളടക്കം തുടരുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,positive,,2,1,2,
നല്ല ട്യൂട്ടോറിയലുകൾ ഉള്ളവ.,negative,,2,1,0,
വരും തലമുറയ്ക്ക് പാരമ്പര്യമൊഴിയാത്ത പാഠം.,positive,,1,2,2,
നല്ല ഫിറ്റ്‌നസ് ഉളവാക്കൽ.,positive,,2,2,2,
പോലീസ് കേസിന്റെ എല്ലാ വിശദാംശങ്ങളും ശേഖരിക്കുന്നു.,neutral,,0,2,1,
പാട്ടിന്റെ ദൃശ്യഭാഗം പാട്ടിനോട് ഒത്തിരിക്കുന്നു.,neutral,,1,2,1,
വാർത്തകൾക്കു ഏതെങ്കിലും അടിസ്ഥാനമില്ല,negative,,2,1,0,
കാലാവസ്ഥ അറിയിപ്പ് ജനങ്ങളെ ചിന്തിപ്പിച്ചു.,negative,,2,1,0,
ആരോഗ്യ പരിപാലനം ശ്രദ്ധേയമായിത്തീരും.,negative,,1,1,0,
""" പഠനം ലായകരമാണ് """,positive,,2,1,2,
പാട്ടിന്റെ അവതരണം ശരാശരി.,neutral,,0,2,1,
ഓരോ സൂചനയും ഉപകാരപ്രദം,positive,,2,1,2,
"""1/5 വിട്ടു ഞാൻ""",negative,,1,1,0,
പാട്ടിലെ ലയവും താളവും പൊരുത്തപ്പെടുന്നു.,neutral,,1,1,1,
ജീവിതത്തിലെ മുന്നേറ്റം വീഴ്ച്ചകളും ഉണ്ടാകാം.,neutral,,0,2,1,
ഔഷധം നിലനിർത്താനുള്ള മാർഗ്ഗങ്ങൾ.,positive,,0,1,2,
കാലത്ത് അനുസരിക്കാത്ത റിപ്പോർട്ട്,negative,,0,0,0,
പാട്ടിലെ പ്രമേയം കൂടുതൽ ഭംഗിയാക്കണം.,neutral,,2,2,1,
കൂടുതൽ താൽപര്യമില്ലാത്ത ദ്രശ്യങ്ങൾ.,negative,,0,0,0,
ശരീരത്തിനും മനസ്സിനും ആശ്വാസം.,neutral,,0,1,1,
പാട്ട് കേൾക്കുമ്പോൾ മനസ്സിൽ ഉത്തേജനം കുറവാണ്.,neutral,,2,1,1,
പാട്ടിന്റെ അവസാനഭാഗം മന്ദമാണ്.,negative,,2,0,0,
പൈതൃകത്തിന്റെ സുവർണ്ണസ്മരണകൾ.,positive,,2,1,2,
വാർത്തകൾ യാഥാർത്ഥ്യമാണെന്ന് കാണുന്നു.,neutral,,2,2,1,
"ക്യാമറയുടെ ആംഗിളുകളും അത്യുത്തമം.,",positive,,2,1,2,
എന്റെ ജീവിതം മാറ്റിത്തരുന്ന വീഡിയോ.,positive,,2,1,2,
ഈ വിഡിയോക്ക് വലിയ ലൈക്കുകള്‍ നേടുക.,positive,,1,1,2,
"""വിജയം ഉറപ്പാക്കാൻ വേണ്ട എല്ലാ ടിപ്സും ഇവിടുണ്ട്""",positive,,2,2,2,
പാട്ടിന്റെ ശബ്ദം കേൾക്കാൻ സൗകര്യമുണ്ട്.,neutral,,0,2,1,
"""നല്ല നിർദേശം""",positive,,2,2,2,
പാട്ടിന്റെ ശൈലി കവിതയുമായി പൊരുത്തപ്പെടുന്നില്ല.,negative,,1,0,0,
ഉപകാരപ്രദമായ സമഗ്ര വിശകലനം,positive,,2,1,2,
ഭക്ഷണക്രമം വ്യക്തിപരമായി മാറുന്നു.,neutral,,2,1,1,
"പുതിയ കഥാപാത്രങ്ങളെ പ്രേക്ഷകർ ഏറ്റെടുക്കുന്നു.,",positive,,0,2,2,
കാലാവസ്ഥാ കൃത്യത,neutral,,2,2,1,
"മാന്ദ്യമായ അവതരണം.,",negative,,1,2,0,
നാടിന്റെ സ്നേഹവും വിശ്വാസവും പ്രകടമാക്കുന്ന കാഴ്ചകൾ,positive,,2,2,2,
വ്യായാമം സ്ഥിരം ആവശ്യം.,positive,,1,2,2,
പാട്ടിൽ ഉള്ള സൗന്ദര്യം മനസ്സിൽ പതിക്കുന്നു.,positive,,0,2,2,
ആരോഗ്യവുമായി ബന്ധപ്പെട്ട കുറിപ്പുകൾ.,neutral,,2,1,1,
പ്രതിശ്രുതികൾ ഉറപ്പില്ല,negative,,1,2,0,
കാലാവസ്ഥ മനസ്സിലാക്കുന്നതിൽ സഹായിക്കുന്നു.,positve ,,2,1,2,
പാട്ടിന്റെ രചന ലളിതമാണ്.,neutral,,2,2,1,
കാഴ്ചകളുടെ പ്രസംഗം കൂടുതൽ ആശയം തരും,neutral,,1,2,1,
ലളിതമായ വ്യാഖ്യാനം മനസ്സിലാകുന്നു.,negative,,1,2,0,
പാട്ടിന്റെ ശബ്ദം മിതമാണ്.,neutral,,1,1,1,
കാലാവസ്ഥാ ഗതികൾ,neutral,,0,2,1,
ശരീര സംരക്ഷണം പ്രധാനമാണ്.,neutral,,1,2,1,
സ്റ്റ്രീറ്റ് ഫുഡ് സുരക്ഷിതമല്ല,negative,,2,1,0,
"""ഓൺലൈനിൽ പങ്കാളിത്തം വർദ്ധിപ്പിക്കണം.""",neutral,,1,2,1,
പാട്ടിൽ മെച്ചപ്പെടുത്തലുകൾ വേണ്ട.,neutral,,1,1,1,
യാഥാർഥ്യത്തിന്റെ ഒരു നിമിഷം.,neutral,,2,1,1,
പാട്ടിന്റെ താളം സാധാരണ.,neutral,,2,1,1,
പാചകത്തിനുള്ള മനോഹര ക്ലാസ്സ്.,positive,,1,2,2,
പ്രവചനം ല്ലു,positive,,2,1,2,
കാഴ്ചക്ക് വേണ്ടി ആവശ്യമായ റോഡുകൾ പരിപാലിക്കുക,neutral,,2,2,1,
കാര്യമായ സംവാദങ്ങൾ,positive,,2,2,2,
വെള്ളിത്തിരയുടെ സൗന്ദര്യം പാട്ടിൽ പകർന്നു.,positive,,2,2,2,
നമ്മുടെ തൊട്ടും പാരമ്പര്യങ്ങളെ പ്രചരിപ്പിക്കുന്നത് നല്ലതാണ്.,positive,,2,2,2,
ആഴത്തിൽ പറയുന്ന ഉള്ളടക്കം.,positive,,1,1,2,
സംഗീത ശ്രദ്ധയിൽ പെട്ടു പോകുന്നു.,positive,,2,2,2,
കാലാവസ്ഥാ പദ്ധതികൾ വിശദീകരണം,neutral,,1,1,1,
നൂതന അടിവയ്പ്പു,positive,,1,2,2,
വ്യായാമം തുടർച്ചയായും നടത്താനാകും.,negative,,2,0,0,
കാലാവസ്ഥാ പ്രശ്‌ന പരിഹാര മാർഗങ്ങൾ,neutral,,2,1,1,
പാടൽ പ്രേക്ഷകരുടെ ഹൃദയം കീഴടക്കി.,positive,,1,2,2,
പാട്ടിന്റെ ലയം ഹൃദയത്തിൽ നിറയുന്നു.,positive,,0,1,2,
സാക്ഷികൾക്ക് സുരക്ഷ ഉറപ്പാക്കും.,neutral,,2,2,1,
ചാനലിന്റെ പ്രവർത്തനത്തിൽ വലിയ പുരോഗതി കാണുന്നു.,positive,,1,2,2,
വാർത്തകൾ സാങ്കേതികമല്ല,negative,,1,0,0,
പഠനത്തിന് നല്ല പ്രചോദനം നൽകുന്ന വീഡിയോ.,negative,,1,0,0,
ജീവിത ആവശ്യങ്ങൾ ചെറുതല്ല.,neutral,,2,2,1,
കാലാവസ്ഥാ വ്യതിയാനത്തിന്‍റെ പ്രതിഫലങ്ങൾ പരിശോധിക്കൽ,neutral,,2,2,1,
വ്യായാമം ഒരു സ്വപ്നമല്ല.,neutral,,1,2,1,
പ്രഗൽഭമായി പറയുന്ന ചാനൽ.,positive,,1,2,2,
കാലാവസ്ഥാവാര്‍ത്തകള്‍ സത്യസന്ധമാണ്.,neutral,,1,1,1,
കുറ്റവാളികൾക്കായുള്ള ശ്രമം പുരോഗമിക്കുന്നു.,neutral,,2,2,1,
ലോകരാജ്യത്തിന്റെ സർവേ,positive,,2,2,2,
കാലാവസ്ഥാ നിരീക്ഷണ ഉപകരണങ്ങൾ,neutral,,1,2,1,
കലാരൂപത്തിന്റെ ഭംഗി മനസ്സിലാക്കി.,positive,,2,2,2,
പാട്ട് കേൾക്കുമ്പോൾ മനസ്സിൽ സന്തോഷം.,neutral,,1,2,1,
കാലാവസ്ഥാ അനുഭവം.,neutral,,1,1,1,
നിങ്ങളുടെ പഠന ടിപ്പുകൾ എനിക്ക് വളരെ സഹായിച്ചു.,positive,,1,2,2,
പോലീസ് നടത്തിയ അന്വേഷണം circular.,neutral,,1,2,1,
പ്രകൃതിയുടെ സ്വാഭാവിക ചലനങ്ങൾ,neutral,,2,2,1,
ചിലർ കുടുംബത്തോടുള്ള ബാധ്യത ഉയർത്തുന്നു.,neutral,,1,1,1,
പാട്ടിന്റെ ശബ്ദം മിതമാണ്.,neutral,,2,2,1,
പാടൽ ഹൃദയം നിറയ്ക്കുന്ന അനുഭവം.,positive,,2,1,2,
ദൃശ്യങ്ങൾ ശരാശരിച്ചു.,neutral,,2,1,1,
രുചികരമായ റോസ്റ്റ്.,positive,,1,2,2,
മാധ്യമങ്ങളിലെ നല്ല സംവേദനം.,positive,,1,2,2,
ഇത്തരമൊരു കലാരൂപം നമുക്ക് അഭിമാനമായി.,positive,,2,2,2,
മഴയുടെ പ്രത്യേകതയറിയാം.,positve ,,0,2,2,
പ്രവചനം അലർട്ട് നൽകുന്നു,positive,,2,2,2,
വിഡിയോയുടെ സാങ്കേതികം ശരിയാണെന്ന് തോന്നുന്നു.,neutral,,1,2,1,
"ഈ റെസിപ്പി പരീക്ഷിച്ചതായിരുന്നു, രുചി ഇത്രയും കയ്യാളുന്നില്ല.",negative,,2,0,0,
പാട്ടിൽ ഉള്ള സൗന്ദര്യം കവിത കാണിക്കുന്നു.,positive,,1,2,2,
കാലാവസ്ഥ വിജ്ഞാന സാധ്യതകൾ,negative,,1,1,0,
ഗായകന്റെ ശബ്ദം മനോഹരവും പ്രേരണാത്മകവുമാണ്.,positive,,1,2,2,
പാട്ട് കേൾക്കാനാവശ്യമായ സമയം കുറഞ്ഞു.,neutral,,1,0,1,
വികാസം കാണാം.,neutral,,2,1,1,
കാലാവസ്ഥ മാനദണ്ഡം നിലനിർത്തൽ,neutral,,1,1,1,
"ചില സീൻസ് ശരാശരിയായിരുന്നു.,",neutral,,0,1,1,
പാട്ടിന്റെ തുടക്കം ഹൃദ്യമാണ്.,neutral,,2,2,1,
പാട്ടിലെ സംഗീതം ലളിതമാണ്.,neutral,,1,1,1,
കാലാവസ്ഥാ റിപ്പോർട്ട് അപൂർണ്ണം.,negative,,0,0,0,
പാട്ടിന്റെ ഭാഗങ്ങൾ ഹൃദയസ്പർശമാണ്.,neutral,,0,2,1,
കുറ്റകൃത്യത്തിന്റെ സ്ഥലം പരിശോധിക്കുന്നു.,neutral,,0,1,1,
പാചകത്തിനായ് കൃത്യമായ മാർഗ്ഗനിർദ്ദേശം കൂടുന്നു.,negative,,1,2,0,
പാട്ട് കേൾക്കുമ്പോൾ ശബ്ദം അമിതമാണ്.,negative,,0,0,0,
പാചക വീഡിയോ മനോഹരമല്ല.,negative,,2,0,0,
"ഗാനങ്ങൾ കേൾക്കാനാകും.,",neutral,,2,1,1,
കാലാവസ്ഥാ അറിയിപ്പുകൾ കൃത്യതയില്ല,negative,,2,0,0,
മനോഹരമായ കഥകൾ പങ്കുവെച്ച് എല്ലാവർക്കും പ്രയോജനകരം.,positive,,1,2,2,
കാഴ്ച്ചക്കായി കാത്തിരിക്കുന്ന മനോഹര സ്ഥലങ്ങൾ,positive,,1,2,2,
പാട്ടിൽ ഉള്ള സംഗീത ഘടന മനോഹാരം.,positive,,1,2,2,
"എഡിറ്റിംഗ് ശരാശരിയായിരിന്നു.,",neutral,,2,1,1,
പാട്ട് ശരാശരിയായിരുന്നെങ്കിലും കേൾക്കാവുന്നതാണ്.,neutral,,1,1,1,
"""ബന്ധം ഉണ്ട്""",positive,,2,1,2,
സുരക്ഷിതമായ ട്രെൻഡ്,positive,,0,2,2,
പോലീസ് നടപടികളിലാണ് പുരോഗതി.,neutral,,2,1,1,
കാലാവസ്ഥ വിവരം വളരെ പ്രസക്തമാണ്.,positve ,,2,2,2,
ഗാനം എന്നു പറയുമ്പോൾ ഭൂമി കണ്ണീര് വാരുന്നു.,positive,,2,0,2,
എല്ലാം മനസ്സിലാക്കാൻ സഹായിച്ചത്.,positive,,0,2,2,
ഗായകന്റെ പ്രകടനം മികവുറ്റതാണ്.,positive,,2,2,2,
ഒരുപാട് സമയം എടുത്തുള്ള സംശയങ്ങൾ ഇല്ലാതാക്കി.,negative,,2,2,0,
പാട്ടിന്റെ സാങ്കേതിക വിദ്യയിൽ പുതിയ തിരിച്ചറിവുകൾ വേണം.,neutral,,1,1,1,
പാട്ടിന്റെ ഭാഗങ്ങൾ ഹൃദയസ്പർശമാണ്.,neutral,,0,1,1,
നൂതന അവതരണ സാഹചര്യങ്ങൾ,positive,,1,1,2,
കാലാവസ്ഥാ വിവിധ മേഖലകൾ,neutral,,2,2,1,
"പുസ്തകത്തിന്റെ അനുഭവം തുറന്നില്ല.,",negative,,0,1,0,
പാട്ടിന്റെ ലയവും താളവും ശരാശരി.,neutral,,1,1,1,
വളരെ പൊരുത്തമുള്ളതും സുലഭമോണ്ടായിരുന്നു.,positive,,2,0,2,
പാട്ടിന്റെ പദങ്ങൾ താങ്ങാൻ കഴിയാത്ത തഴക്കം.,positive,,1,1,2,
മഴ തിരക്കുണ്ടാകും.,neutral,,2,2,1,
നൂതന ഫോൾകോസ്റ്റ്,positive,,0,0,2,
വാനി കാലാവസ്ഥാ അറിയിപ്പ്,negative,,1,1,0,
"""നല്ല സംയുക്തമായ വിശദീകരണം""",positive,,1,2,2,
ടൂറിസം മേഖലയിൽ അനധികൃത നിർമ്മാണം കൂടുതലാണ്,negative,,2,0,0,
സമയം പാലിച്ചു അപകട സാധ്യത കുറയ്ക്കുക,neutral,,1,1,1,
പാട്ടിന്റെ ഭാഗങ്ങൾ ശരാശരിയാണ്.,neutral,,2,2,1,
പ്രകൃതിസ്നേഹികൾക്ക് ഹൃദയം നിറയ്ക്കുന്ന വിസ്മയം,positive,,1,0,2,
കോമൺ ഇന്ന് ലക്ഷ്മി വന്നുപോയി.,positive,,2,2,2,
വിദ്യാർത്ഥികൾക്ക് പ്രോത്സാഹനം നൽകുന്നു.,positive,,1,2,2,
പാട്ടിന്റെ രചന ലളിതമാണ്.,neutral,,0,1,1,
സഞ്ചാരികൾക്ക് പ്രചോദനകുറിപ്പ്,positive,,1,1,2,
ജീവിതത്തിലെ ഉദ്യോഗങ്ങൾ വ്യത്യാസപ്പെടുന്നു.,neutral,,2,2,1,
വാർത്തകൾ ലൈഫ്ലെസ്സ് വിവരങ്ങൾ,negative,,0,2,0,
ഫിറ്റ്നസിന് വേണ്ടിയുള്ള വഴികൾ.,neutral,,2,1,1,
എത്തിയ മഴ നമ്മുടെ വിളവുകൾക്ക് ഉത്തമം.,positve ,,1,2,2,
ഹോട്ടലുകളുടെ വില നിരോധനാതീതം,negative,,2,1,0,
ശാന്തമായ പ്രകൃതി മനസ്സിന് ആശ്വാസം നൽകുന്നു,positive,,2,1,0,
കാലാവസ്ഥാ മാറ്റങ്ങളുടെ സൂചനകൾ.,neutral,,1,0,2,
ആരോഗ്യത്തെ പ്രധാനം ചെയ്ത കൂറുകൾ.,positive,,2,2,1,
പഴയ കളിയാഴ്ച പാചകത്തിന്റെ മനോഹരം.,positive,,1,2,2,
ജാഗ്രതയോടെ ജീവിതം.,positive,,1,2,2,
മാനസിക ആരോഗ്യത്തിനും മാർഗ്ഗങ്ങൾ ലഭ്യമാണ്.,negative,,1,2,2,
ജാഗ്രത സൂക്ഷിക്കാൻ ഇരുന്നു.,positive,,1,2,0,
പാട്ടിന്റെ ഗായകന്റെ പ്രകടനം മിതമാണ്.,neutral,,2,2,2,
ഭക്ഷണക്രമം മാറ്റം വരുത്തണം.,neutral,,1,1,1,
"സിനിമയുടെ തുടക്കം മിതമാണ്.,",neutral,,1,1,1,
പ്രചോദനമായി ഈ വീഡിയോകൾ.,positive,,2,2,1,
പാട്ടിന്റെ സംഗീതം കേൾക്കാൻ സൗകര്യമുണ്ട്.,neutral,,0,1,2,
"പാട്ടിന്റെ വരികൾ ശരാശരിയോടെ.,",neutral,,0,1,1,
നിങ്ങളെ വിദ്യാഭ്യാസ രംഗത്ത് മുന്നോട്ട് ആക്കുന്നു.,negative,,0,2,1,
മഴഅളവ് തെറ്റായി റിപ്പോർട്ട് ചെയ്തു.,negative,,2,2,0,
പാചകത്തിന് പ്രചോദനമായ വീഡിയോ.,positive,,2,1,0,
"അസമ്മതമായി ഉള്ള വരികൾ.,",negative,,0,0,2,
"""ഈ ബിസിനസ് വിഡിയോ വച്ച് ഉയരില്ല""",negative,,1,0,0,
പ്രദേശത്തെ കാലാവസ്ഥ വിശദീകരണം ഉത്തമം.,positve ,,1,1,0,
നാടൻ നൃത്തങ്ങളുടെ ശോഭ.,positive,,1,2,2,
"""നല്ല ഉള്ളടക്കമായി കണ്ടില്ല""",negative,,1,0,2,
വാനിലേക്കുള്ള കാലാവസ്ഥാ നിരീക്ഷണം,neutral,,2,1,0,
പാചക ക്ലാസ്സുകൾ സാധാരണ.,neutral,,1,1,1,
പാട്ടിനുള്ള ഭാഗികമായ ചർച്ചആണ്.,neutral,,2,1,1,
കാലാവസ്ഥ അക്കാദമിക് സ്റ്റഡി,neutral,,2,2,1,
വിദ്യാർത്ഥികൾക്കായി നല്ല പരിശ്രമം.,positive,,0,2,1,
പാട്ടിന്റെ ശബ്ദം കേൾക്കാൻ സൗകര്യമുണ്ട്.,neutral,,0,2,2,
"പ്രതീക്ഷകൾക്കനുസരിച്ച് തമാശ.,",positive,,2,1,1,
"ഫാൻസ് അസ്സോസിയേഷൻ വളരുന്നു.,",positive,,0,1,2,
സഞ്ചാര മേഖലയിൽ പോരായ്മകൾ മെച്ചപ്പെടുത്തേണ്ടത്,negative,,2,1,2,
വളരെ നിശ്ചലമായ വിഷയം.,neutral,,0,0,0,
ഈ വീഡിയോ എന്റെ പഠനത്തിലേക്ക് വലിയ സഹായിയായി.,positive,,0,2,1,
പാചക വീഡിയോ സങ്കീർണ്ണത പരമാവധി.,negative,,1,2,2,
വിവരം ശേഖരണത്തിലെ ഗാന്ധാര്യം.,neutral,,2,0,0,
കാഴ്ചയുടെ ശുദ്ധതയ്ക്ക് ആശങ്കകൾ ഉണ്ട്,neutral,,1,1,1,
"""ബിസിനസ് ജീവിതത്തിൽ ഇത് നോക്കേണ്ട""",negative,,0,1,1,
ചിലർ യാത്രകൾക്ക് മുൻഗണന നൽകുന്നു.,neutral,,1,2,0,
പാരമ്പര്യ സംഗീതവും നൃത്തവും വാഴട്ടെ.,positive,,1,1,1,
കാലാവസ്ഥയുടെ സ്വാഭാവിക രീതി,negative,,2,1,2,
"""ഒരു പുതിയ വിശേഷം ഇല്ല""",negative,,0,2,0,
പാട്ടിലെ കലാപാരമ്പര്യം നിലനിൽക്കുന്നു.,neutral,,0,0,0,
കാലാവസ്ഥാ മാസം മാറുന്നു.,neutral,,0,1,1,
പാട്ടിൽ ഭാവനാഭംഗി കാണുന്നു.,negative,,1,0,1,
മഴ തുടരുമെന്ന് പറഞ്ഞത് പരാജയപ്പെട്ടു.,negative,,2,2,0,
"""പോടാ സാറേ സ്റ്റോപ്പ്""",negative,,0,1,0,
നിങ്ങളുടെ വീഡിയോ മോനോട്ടണ്‍ ആണ്.,negative,,1,1,0,
